cluster_sample_id,cluster_id,sample_id,cell_count,Group
C-Monocyte_H-1,C-Monocyte,H-1,83,H
C-Monocyte_H-10,C-Monocyte,H-10,25,H
C-Monocyte_H-11,C-Monocyte,H-11,145,H
C-Monocyte_H-13,C-Monocyte,H-13,207,H
C-Monocyte_H-16,C-Monocyte,H-16,100,H
C-Monocyte_H-18,C-Monocyte,H-18,154,H
C-Monocyte_H-23,C-Monocyte,H-23,29,H
C-Monocyte_H-25,C-Monocyte,H-25,137,H
C-Monocyte_H-26,C-Monocyte,H-26,211,H
C-Monocyte_H-27,C-Monocyte,H-27,16,H
C-Monocyte_H-33,C-Monocyte,H-33,23,H
C-Monocyte_H-36,C-Monocyte,H-36,172,H
C-Monocyte_H-37,C-Monocyte,H-37,230,H
C-Monocyte_H-4,C-Monocyte,H-4,101,H
C-Monocyte_H-40,C-Monocyte,H-40,90,H
C-Monocyte_H-43,C-Monocyte,H-43,101,H
C-Monocyte_H-45,C-Monocyte,H-45,22,H
C-Monocyte_H-49,C-Monocyte,H-49,100,H
C-Monocyte_H-55,C-Monocyte,H-55,149,H
C-Monocyte_H-56,C-Monocyte,H-56,105,H
C-Monocyte_H-57,C-Monocyte,H-57,1,H
C-Monocyte_H-59,C-Monocyte,H-59,58,H
C-Monocyte_H-62,C-Monocyte,H-62,1,H
C-Monocyte_H-63,C-Monocyte,H-63,11,H
C-Monocyte_H-65,C-Monocyte,H-65,1,H
C-Monocyte_H-66,C-Monocyte,H-66,8,H
C-Monocyte_H-68,C-Monocyte,H-68,3,H
C-Monocyte_H-7,C-Monocyte,H-7,67,H
C-Monocyte_T1D-1,C-Monocyte,T1D-1,244,T1D
C-Monocyte_T1D-102,C-Monocyte,T1D-102,294,T1D
C-Monocyte_T1D-104,C-Monocyte,T1D-104,307,T1D
C-Monocyte_T1D-106,C-Monocyte,T1D-106,424,T1D
C-Monocyte_T1D-118,C-Monocyte,T1D-118,112,T1D
C-Monocyte_T1D-12,C-Monocyte,T1D-12,40,T1D
C-Monocyte_T1D-121,C-Monocyte,T1D-121,200,T1D
C-Monocyte_T1D-124,C-Monocyte,T1D-124,56,T1D
C-Monocyte_T1D-127,C-Monocyte,T1D-127,12,T1D
C-Monocyte_T1D-129,C-Monocyte,T1D-129,307,T1D
C-Monocyte_T1D-132,C-Monocyte,T1D-132,5,T1D
C-Monocyte_T1D-135,C-Monocyte,T1D-135,9,T1D
C-Monocyte_T1D-137,C-Monocyte,T1D-137,190,T1D
C-Monocyte_T1D-139,C-Monocyte,T1D-139,10,T1D
C-Monocyte_T1D-14,C-Monocyte,T1D-14,50,T1D
C-Monocyte_T1D-140,C-Monocyte,T1D-140,187,T1D
C-Monocyte_T1D-141,C-Monocyte,T1D-141,180,T1D
C-Monocyte_T1D-142,C-Monocyte,T1D-142,15,T1D
C-Monocyte_T1D-15,C-Monocyte,T1D-15,70,T1D
C-Monocyte_T1D-153,C-Monocyte,T1D-153,218,T1D
C-Monocyte_T1D-156,C-Monocyte,T1D-156,249,T1D
C-Monocyte_T1D-158,C-Monocyte,T1D-158,471,T1D
C-Monocyte_T1D-170,C-Monocyte,T1D-170,260,T1D
C-Monocyte_T1D-174,C-Monocyte,T1D-174,489,T1D
C-Monocyte_T1D-2,C-Monocyte,T1D-2,93,T1D
C-Monocyte_T1D-21,C-Monocyte,T1D-21,274,T1D
C-Monocyte_T1D-25,C-Monocyte,T1D-25,245,T1D
C-Monocyte_T1D-28,C-Monocyte,T1D-28,61,T1D
C-Monocyte_T1D-29,C-Monocyte,T1D-29,40,T1D
C-Monocyte_T1D-37,C-Monocyte,T1D-37,170,T1D
C-Monocyte_T1D-39,C-Monocyte,T1D-39,114,T1D
C-Monocyte_T1D-42,C-Monocyte,T1D-42,15,T1D
C-Monocyte_T1D-44,C-Monocyte,T1D-44,14,T1D
C-Monocyte_T1D-52,C-Monocyte,T1D-52,1,T1D
C-Monocyte_T1D-61,C-Monocyte,T1D-61,252,T1D
C-Monocyte_T1D-73,C-Monocyte,T1D-73,23,T1D
C-Monocyte_T1D-79,C-Monocyte,T1D-79,130,T1D
C-Monocyte_T1D-8,C-Monocyte,T1D-8,72,T1D
C-Monocyte_T1D-82,C-Monocyte,T1D-82,66,T1D
C-Monocyte_T1D-86,C-Monocyte,T1D-86,69,T1D
C-Monocyte_T1D-87,C-Monocyte,T1D-87,261,T1D
C-Monocyte_T1D-88,C-Monocyte,T1D-88,21,T1D
C-Monocyte_T1D-93,C-Monocyte,T1D-93,427,T1D
C-Monocyte_T1D-96,C-Monocyte,T1D-96,609,T1D
C-Monocyte_T1D-97,C-Monocyte,T1D-97,747,T1D
C-Monocyte_T1D-98,C-Monocyte,T1D-98,411,T1D
